Designator,Mid X,Mid Y,Layer,Rotation
C1,177.546mm,-78.486mm,bottom,45
C2,177.546mm,-74.168mm,bottom,315
C3,159.258mm,-68.834mm,bottom,315
C4,172.5676mm,-82.1944mm,bottom,180
C5,160.274mm,-87.122mm,bottom,135
C6,152.908mm,-78.74mm,bottom,90
C7,154.686mm,-60.198mm,bottom,360
C8,163.068mm,-68.2244mm,bottom,360
D1,141.224mm,-67.31mm,bottom,360
D2,161.798mm,-66.04mm,bottom,360
D3,180.975mm,-70.866mm,bottom,270
D4,142.875mm,-90.4875mm,bottom,270
D5,161.29mm,-92.964mm,bottom,270
D6,180.975mm,-90.4875mm,bottom,270
D7,142.875mm,-109.5375mm,bottom,270
D8,161.925mm,-109.5375mm,bottom,270
D9,180.975mm,-109.5375mm,bottom,270
F1,154.94mm,-57.785mm,bottom,180
R1,167.64mm,-60.96mm,bottom,180
R2,146.05mm,-71.12mm,bottom,90
R3,143.51mm,-71.12mm,bottom,90
R4,163.322mm,-89.408mm,bottom,180
R5,141.732mm,-62.992mm,bottom,360
R6,135.89mm,-57.658mm,bottom,270
SW1,176.784mm,-59.436mm,bottom,360
U1,163.5125mm,-78.74mm,bottom,135
J1,145.1075mm,-56.1975mm,bottom,180
